Name (English),Latitude,Longitude,,,,
Ang Mo Kio,1.370851,103.845576,,,,
Bedok,1.324093,103.92747,,,,
Bishan,1.350851,103.848189,,,,
Boon Lay,1.314036,103.708276,,,,
Bukit Batok,1.348869,103.749493,,,,
Bukit Merah,1.282087,103.824286,,,,
Bukit Panjang,1.380853,103.764142,,,,
Bukit Timah,1.329465,103.802352,,,,
Central Water Catchment,1.355529,103.798227,,,,
Changi,1.345237,103.981023,,,,
Changi Bay,1.322073,104.029328,,,,
Choa Chu Kang,1.383539,103.747416,,,,
Clementi,1.316797,103.763513,,,,
Downtown Core,1.286003,103.853792,,,,
Geylang,1.319754,103.893115,,,,
Hougang,1.362125,103.887504,,,,
Jurong East,1.333573,103.742777,,,,
Jurong West,1.34037,103.708156,,,,
Kallang,1.310265,103.864135,,,,
Lim Chu Kang,1.430161,103.718872,,,,
Mandai,1.426132,103.82415,,,,
Marina East,1.291468,103.872338,,,,
Marina South,1.282973,103.865144,,,,
Marine Parade,1.301874,103.89758,,,,
Museum,,,,,,
Newton,,,,,,
North-Eastern Islands,1.413133,103.961255,,,,
Novena,1.32133,103.841029,,,,
Orchard,1.301009,103.838967,,,,
Outram,1.284856,103.844722,,,,
Pasir Ris,1.371892,103.946826,,,,
Paya Lebar,1.358716,103.911656,,,,
Pioneer,1.328434,103.678226,,,,
Punggol,1.408012,103.901916,,,,
Queenstown,1.293935,103.790644,,,,
River Valley,1.29572,103.837164,,,,
Rochor,1.305006,103.851327,,,,
Seletar,1.418199,103.872201,,,,
Sembawang,1.449065,103.820531,,,,
Sengkang,1.389549,103.885604,,,,
Serangoon,1.351405,103.872148,,,,
Simpang,1.444751,103.84172,,,,
Singapore River,,,,,,
Southern Islands,1.249538,103.831186,,,,
Straits View,,,,,,
Sungei Kadut,1.407529,103.76039,,,,
Tampines,1.349909,103.954339,,,,
Tanglin,1.30707,103.817451,,,,
Tengah,1.355097,103.730701,,,,
Toa Payoh,1.334553,103.858132,,,,
Tuas,1.293951,103.633398,,,,
Western Islands,1.275512,103.674372,,,,
Western Water Catchment,1.394487,103.686557,,,,
Woodlands,1.438424,103.787877,,,,
Yishun,1.429274,103.834968,,,,
